iter	RMSE
0	2.863617055
1	2.749765199
2	2.649558656
3	2.566610304
4	2.495667363
5	2.432423987
6	2.380309616
7	2.335815112
8	2.299986198
9	2.26828997
10	2.240137804
11	2.216940698
12	2.197196402
13	2.180166123
14	2.165996199
15	2.151771163
16	2.139667354
17	2.13014779
18	2.122213152
19	2.115313569
20	2.108372388
21	2.101816302
22	2.095692762
23	2.09015975
24	2.084828874
25	2.080248961
26	2.074714996
27	2.070433418
28	2.066983484
29	2.063388684
30	2.060018813
31	2.05713912
32	2.053943638
33	2.050654567
34	2.046586257
35	2.044118355
36	2.040558882
37	2.038694308
38	2.03608492
39	2.032588005
40	2.030638176
41	2.0280432
42	2.025178925
43	2.02176348
44	2.020349133
45	2.017833987
46	2.015224327
47	2.013393728
48	2.011602593
49	2.01043293
50	2.007934026
51	2.005767575
52	2.003715325
53	2.001767157
54	1.999458335
55	1.996938205
56	1.996004912
57	1.994353027
58	1.993446292
59	1.992136413
60	1.991042011
61	1.989807705
62	1.9886792
63	1.987450482
64	1.98602637
65	1.985355115
66	1.984657571
67	1.983710848
68	1.981998986
69	1.98041585
70	1.979704332
71	1.978428905
72	1.977479968
73	1.976270176
74	1.975430546
75	1.974079502
76	1.972706472
77	1.971618618
78	1.971064046
79	1.969835915
80	1.968488964
81	1.967786277
82	1.966652133
83	1.966044328
84	1.964896199
85	1.963544423
86	1.962275236
87	1.961278525
88	1.960661882
89	1.959585647
90	1.958883197
91	1.958190533
92	1.956990243
93	1.955150851
94	1.954054023
95	1.953097468
96	1.951944832
97	1.951134022
98	1.950162109
99	1.949782826
100	1.949018025
101	1.948063766
102	1.947256112
103	1.946658924
104	1.945572747
105	1.944836758
106	1.943951113
107	1.943367354
108	1.942947866
109	1.942410877
110	1.941999165
111	1.941206306
112	1.940614808
113	1.939397563
114	1.938266413
115	1.937697532
116	1.936792105
117	1.935473303
118	1.934708917
119	1.933939969
120	1.932566866
121	1.931115624
122	1.930472744
123	1.929326953
124	1.928633621
125	1.927773439
126	1.927063501
127	1.926500827
128	1.925838745
129	1.9249237
130	1.923863945
131	1.923172411
132	1.922192669
133	1.921120506
134	1.920263303
135	1.919517848
136	1.918753906
137	1.91830143
138	1.917552723
139	1.916912291
140	1.91650458
141	1.915776415
142	1.915134685
143	1.914070773
144	1.913190691
145	1.912873448
146	1.912002392
147	1.911061828
148	1.910317277
149	1.909612302
150	1.908819012
151	1.908204711
152	1.907545135
153	1.906636306
154	1.905726669
155	1.905005319
156	1.90445232
157	1.903736467
158	1.903068166
159	1.902172538
160	1.901595217
161	1.900760093
162	1.900104522
163	1.899270383
164	1.898249344
165	1.897682887
166	1.896438881
167	1.895970759
168	1.895159111
169	1.89471882
170	1.8939254
171	1.893468822
172	1.892860613
173	1.891983615
174	1.891450416
175	1.890861526
176	1.89034324
177	1.889783092
178	1.889188523
179	1.888554464
180	1.888041514
181	1.887550824
182	1.886951594
183	1.886365489
184	1.885846442
185	1.885301162
186	1.884928679
187	1.884152295
188	1.883532515
189	1.882879487
190	1.882486353
191	1.882180084
192	1.881557625
193	1.881071346
194	1.880638372
195	1.880094946
196	1.87945012
197	1.878698983
198	1.878228588
199	1.877817462
200	1.877230622
201	1.876585677
202	1.87603577
203	1.875163352
204	1.874560157
205	1.873850982
206	1.873380759
207	1.873019632
208	1.872661495
209	1.871989211
210	1.871493805
211	1.870939932
212	1.870410095
213	1.870050599
214	1.869493333
215	1.868886735
216	1.86845242
217	1.867906858
218	1.867229873
219	1.866841072
220	1.866378022
221	1.865877604
222	1.865181833
223	1.864679566
224	1.864224303
225	1.863425479
226	1.862989088
227	1.86238723
228	1.862102064
229	1.861672318
230	1.861424448
231	1.860850589
232	1.86046982
233	1.859969075
234	1.859161313
235	1.858510605
236	1.857951224
237	1.857506912
238	1.856955502
239	1.856515295
240	1.855999022
241	1.855585891
242	1.85486278
243	1.854442094
244	1.853904679
245	1.853201563
246	1.852507206
247	1.852035282
248	1.851605697
249	1.851156606
250	1.850804659
251	1.850358552
252	1.849980316
253	1.849514852
254	1.84923043
255	1.848814129
256	1.848565222
257	1.848097652
258	1.84774807
259	1.847143484
260	1.84680983
261	1.846393153
262	1.845979882
263	1.845545432
264	1.845094082
265	1.844526654
266	1.844051355
267	1.843510359
268	1.84304766
269	1.842818368
270	1.842304576
271	1.84203573
272	1.841329735
273	1.840808489
274	1.840136713
275	1.839570812
276	1.839022569
277	1.838450852
278	1.838132503
279	1.837460036
280	1.837192702
281	1.836613646
282	1.836091888
283	1.835674893
284	1.83530492
285	1.834795987
286	1.834450344
287	1.83388018
288	1.833450671
289	1.83309351
290	1.832635592
291	1.832021217
292	1.831647618
293	1.831279831
294	1.83090804
295	1.83043297
296	1.829836909
297	1.829570491
298	1.82910861
299	1.828826486
300	1.828339418
301	1.827984803
302	1.827540791
303	1.826930587
304	1.826668896
305	1.826308147
