iter	Passed	Remaining
0	47	46972
1	91	45789
2	137	45740
3	181	45099
4	227	45284
5	270	44823
6	319	45306
7	364	45206
8	410	45152
9	455	45092
10	499	44918
11	542	44676
12	590	44849
13	637	44873
14	680	44660
15	729	44854
16	781	45216
17	826	45076
18	868	44866
19	915	44882
20	959	44729
21	1002	44572
22	1046	44471
23	1091	44386
24	1134	44243
25	1179	44182
26	1221	44021
27	1271	44126
28	1318	44150
29	1364	44130
30	1409	44053
31	1454	44011
32	1497	43875
33	1541	43796
34	1584	43694
35	1623	43479
36	1677	43648
37	1720	43552
38	1763	43452
39	1805	43322
40	1847	43213
41	1891	43134
42	1954	43490
43	2003	43539
44	2044	43395
45	2088	43323
46	2134	43282
47	2181	43260
48	2223	43158
49	2266	43068
50	2310	42984
51	2354	42919
52	2396	42819
53	2438	42710
54	2480	42619
55	2534	42729
56	2579	42670
57	2623	42606
58	2665	42511
59	2709	42454
60	2753	42383
61	2803	42410
62	2847	42345
63	2892	42306
64	2931	42165
65	2974	42091
66	3016	42001
67	3055	41880
68	3102	41861
69	3144	41776
70	3194	41799
71	3233	41680
72	3274	41578
73	3322	41570
74	3371	41576
75	3418	41556
76	3459	41464
77	3501	41389
78	3542	41294
79	3585	41234
80	3625	41132
81	3668	41070
82	3713	41026
83	3756	40959
84	3795	40854
85	3841	40822
86	3895	40884
87	3942	40861
88	3983	40774
89	4027	40725
90	4074	40696
91	4112	40585
92	4158	40555
93	4199	40480
94	4242	40416
95	4279	40295
96	4321	40232
97	4364	40171
98	4409	40128
99	4449	40046
100	4494	40008
101	4540	39977
102	4586	39941
103	4628	39878
104	4671	39818
105	4715	39770
106	4762	39747
107	4809	39724
108	4848	39631
109	4897	39622
110	4944	39601
111	4987	39545
112	5031	39491
113	5076	39451
114	5108	39311
115	5154	39282
116	5196	39218
117	5238	39153
118	5281	39104
119	5335	39129
120	5384	39112
121	5422	39022
122	5474	39034
123	5525	39033
124	5564	38953
125	5610	38914
126	5654	38868
127	5704	38860
128	5756	38869
129	5798	38808
130	5842	38756
131	5898	38784
132	5945	38758
133	5989	38705
134	6035	38669
135	6079	38621
136	6118	38542
137	6155	38449
138	6195	38376
139	6239	38329
140	6287	38304
141	6333	38265
142	6377	38222
143	6414	38130
144	6462	38105
145	6500	38026
146	6545	37979
147	6585	37912
148	6632	37879
149	6676	37832
150	6725	37814
151	6769	37764
152	6814	37723
153	6855	37659
154	6905	37645
155	6950	37601
156	6997	37572
157	7038	37510
158	7086	37484
159	7133	37448
160	7177	37401
161	7217	37335
162	7265	37306
163	7310	37268
164	7360	37246
165	7400	37182
166	7442	37124
167	7491	37102
168	7538	37068
169	7585	37032
170	7628	36980
171	7674	36944
172	7721	36911
173	7766	36867
174	7813	36833
175	7852	36765
176	7910	36782
177	7971	36813
178	8012	36750
179	8062	36730
180	8106	36682
181	8152	36639
182	8195	36587
183	8241	36550
184	8281	36481
185	8328	36448
186	8367	36377
